Search_method Problem Max_evals Run Score
uniform_crossover_tweak knapPI_16_200_1000_4 10000 21 -35139N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 22 -35099N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 23 -36999N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 24 -36475N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 0 -213921N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 1 -205899N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 2 -214881N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 3 -211755N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 4 -212981N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 5 -215844N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 6 -214310N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 7 -209833N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 8 -215054N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 9 -214500N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 10 -217786N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 11 -212200N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 12 -214505N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 13 -214211N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 14 -214637N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 15 -209462N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 16 -213485N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 17 -216120N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 18 -209749N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 19 -211504N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 20 -209174N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 21 -208113N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 22 -213824N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 23 -215310N
uniform_crossover_tweak knapPI_16_1000_1000_4 10000 24 -217292N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 0 1400N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 1 1360N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 2 1360N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 3 1360N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 4 1320N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 5 1360N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 6 1400N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 7 1320N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 8 1400N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 9 1440N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 10 1400N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 11 1400N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 12 1400N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 13 1320N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 14 1400N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 15 1400N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 16 1400N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 17 1360N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 18 1440N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 19 1400N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 20 1400N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 21 1400N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 22 1360N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 23 1400N
two_point_uniform_crossover knapPI_11_20_1000_4 10000 24 1320N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 0 889N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 1 890N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 2 836N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 3 907N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 4 863N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 5 889N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 6 881N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 7 889N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 8 890N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 9 880N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 10 863N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 11 907N
two_point_uniform_crossover knapPI_13_20_1000_4 10000 12 907N
